Source,Tier,Family,Primary URL,Related URLs,Owner Group,Access Mode,Legal Mode,Risk Mode,Freshness,Publish Capable,Listing Types,Best Extraction Method,MVP Phase,Notes
Lions Group,2,agency,https://lionsgroup.bg/,,Lions Group,html,public_crawl_with_review,medium,daily,yes,"sale, long_term_rent, land, new_build",server-rendered listing crawl,source_expansion_after_tier1,Useful Varna-side agency inventory.
Pochivka.bg,2,ota,https://pochivka.bg/,,Pochivka BG,html,public_crawl_with_review,medium,daily,yes,short_term_rent,partnership or limited travel-catalog crawl,source_expansion_after_tier1,Hospitality intelligence more than core sale inventory.
realestates.bg,2,classifieds,https://en.realestates.bg/,,ALO.BG network,html,public_crawl_with_review,medium,daily,yes,"sale, long_term_rent, land",scope-limited HTML crawl and dedupe against alo.bg,source_expansion_after_tier1,Foreign-facing Alo network layer.
Realistimo,2,portal,https://realistimo.com/,,Realistimo,headless,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",HTML crawl with map-filter fallback,source_expansion_after_tier1,Map-driven browsing suggests structured geo data.
Rentica.bg,2,agency,https://rentica.bg/,,Rentica,html,public_crawl_with_review,medium,hourly,yes,long_term_rent,rent-only HTML parser,source_expansion_after_tier1,Varna rental specialist.
Svobodni-kvartiri.com,2,portal,https://svobodni-kvartiri.com/,,Svobodni kvartiri,html,public_crawl_with_review,medium,hourly,yes,"long_term_rent, short_term_rent",deep pagination crawl by city scope,source_expansion_after_tier1,Useful for worker and student rentals.
Unique Estates,2,agency,https://ues.bg/,,Realto Group,html,public_crawl_with_review,medium,daily,yes,"sale, long_term_rent, new_build",luxury listing crawler,source_expansion_after_tier1,Luxury sea-segment pages.
Vila.bg,2,ota,https://vila.bg/,,Vila Tours,html,public_crawl_with_review,medium,daily,yes,short_term_rent,partnership or limited catalog crawl,source_expansion_after_tier1,Villa and guest-house coverage.
Yavlena,2,agency,https://www.yavlena.com/,,Yavlena,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent",incremental crawl with ID-based URLs,source_expansion_after_tier1,Established agency with branch-driven supply.
Airbnb,3,ota,https://www.airbnb.com/,,"Airbnb, Inc.",partner_feed,official_partner_or_vendor_only,prohibited_without_contract,vendor_sync,yes,short_term_rent,official authorized partner integration only,reverse_publishing_and_str_intelligence,Do not rely on scraping as a core acquisition path.
Airbtics,3,analytics_vendor,https://airbtics.com/,,Airbtics,licensed_data,official_partner_or_vendor_only,low,vendor_sync,no,short_term_rent_metrics,REST API or licensed export,enrichment_and_verification,Use for coastal STR benchmarks.
AirDNA,3,analytics_vendor,https://www.airdna.co/,,AirDNA,licensed_data,official_partner_or_vendor_only,low,vendor_sync,no,short_term_rent_metrics,licensed export or enterprise contract,enrichment_and_verification,"Use for STR enrichment, not primary listings."
BCPEA property auctions,3,official_register,https://sales.bcpea.org/properties,,Chamber of Private Bailiffs,html,public_crawl_with_review,medium,daily,no,auction_sale,HTML crawl plus OCR when notices are scanned,enrichment_and_verification,Useful opportunistic inventory source.
Booking.com,3,ota,https://www.booking.com/,,Booking Holdings,partner_feed,official_partner_or_vendor_only,prohibited_without_contract,vendor_sync,yes,short_term_rent,connectivity/content partner APIs only,reverse_publishing_and_str_intelligence,Certification-first publishing route.
Flat Manager,3,ota,https://flatmanager.bg/,https://reserve.flatmanager.bg/,Flat Manager / Renters.pl,partner_feed,official_partner_or_vendor_only,medium,vendor_sync,yes,"short_term_rent, property_management",partnership or direct booking integration only,reverse_publishing_and_str_intelligence,Managed STR/direct-booking inventory and potential distribution partner.
KAIS Cadastre,3,official_register,https://kais.cadastre.bg/bg/Map,,"Agency for Geodesy, Cartography and Cadastre",manual_consent_only,consent_or_manual_only,high,consent_driven,no,"building_geometry, parcel_validation",official services and permitted exports,enrichment_and_verification,Geospatial backbone for building matching.
Menada Bulgaria,3,ota,https://menadabulgaria.com/,,Menada Bulgaria,partner_feed,official_partner_or_vendor_only,medium,vendor_sync,yes,"short_term_rent, property_management",partnership/direct booking integration,reverse_publishing_and_str_intelligence,Black Sea property management and STR inventory.
Property Register,3,official_register,https://portal.registryagency.bg/en/home-pr,,Registry Agency,manual_consent_only,consent_or_manual_only,high,consent_driven,no,ownership_verification,official e-service queries only,enrichment_and_verification,"Verification layer, not acquisition feed."
Vrbo,3,ota,https://www.vrbo.com/,,Expedia Group,partner_feed,official_partner_or_vendor_only,high,vendor_sync,yes,short_term_rent,partnership or licensed feed,reverse_publishing_and_str_intelligence,Not a crawl-first source.
Facebook public groups/pages,4,social_public_channel,https://www.facebook.com/groups/438018083766467/,,Meta,manual_consent_only,consent_or_manual_only,high,daily,no,"leads, long_term_rent",manual monitoring or explicit partnerships,lead_intelligence_overlay,Do not rely on unstable login-restricted scraping.
Instagram public profiles,4,social_public_channel,https://www.instagram.com/bulgarianproperties.bg/,"https://www.instagram.com/bulgarianpropertiesagency/
https://www.instagram.com/suprimmo.bg/
https://www.instagram.com/suprimmo.varna/
https://www.instagram.com/suprimmo.burgas/
https://www.instagram.com/luximmo.bg/
https://www.instagram.com/luximmo.burgas/
https://www.instagram.com/rentica.bg/",Meta,manual_consent_only,consent_or_manual_only,high,daily,no,"leads, branding",authorized business integrations or manual review,lead_intelligence_overlay,Treat as agency-branding and lead overlay.
Telegram public channels,4,social_public_channel,https://t.me/rentvarna,"https://t.me/varnarents
https://t.me/real_estate_bg
https://t.me/ads_in_bulgaria
https://t.me/bgvarna_en
https://t.me/kvartirivarna",Telegram,official_api,official_api_allowed,medium,hourly,no,"leads, sale, long_term_rent",public API/client ingestion with NLP extraction,lead_intelligence_overlay,Lead-intelligence overlay only.
Threads public profiles,4,social_public_channel,,,Meta,manual_consent_only,consent_or_manual_only,high,daily,no,"leads, branding, links",experimental public-profile monitoring only after access review,lead_intelligence_overlay,Deferred overlay until official/public read coverage is confirmed.
Viber opt-in communities,4,private_messenger,https://invite.viber.com/?g2=AQA%2BxCYrr7Jy1VEh6Ic98YLAlDXOmJicE8MDwi%2F0NU%2FsFss%2FWRC%2B0lL9ufcuh96f,"https://invite.viber.com/?g2=AQAskgj%2FMFVozlMMEjg%2BuNw%2FEqgzSfOC5b8ZiLELo85k4haoyw9L%2B8j8wGKeBc0t
https://invite.viber.com/?g2=AQBsW%2FKtZgB8VFEa8o8E52s45eL4D9wCwntSBjZysufmDhq3fLznCnlBiYx6vHYN&lang=en
https://invite.viber.com/?g2=AQBqiGrgkj4dFFS6JHR01wsv8ntsQAaiglrdOkkM4MlwzwqoJZ%2FQ49cp0nvXLpUr&lang=bg",Rakuten Viber,manual_consent_only,consent_or_manual_only,high,consent_driven,no,"leads, sale, long_term_rent",opt-in community ingestion only,lead_intelligence_overlay,Privacy-restricted and unstructured.
WhatsApp opt-in groups,4,private_messenger,https://chat.whatsapp.com/HB3Kt48meI08eIaYSuJ1Go?mode=gi_t,,Meta,manual_consent_only,official_partner_or_vendor_only,prohibited_without_contract,consent_driven,no,"leads, sale, long_term_rent",explicit opt-in via WhatsApp Business only,lead_intelligence_overlay,"Useful for owned-business communication, not broad scraping."
X public search/accounts,4,social_public_channel,https://x.com/super_imoti,,X,official_api,official_api_allowed,low,daily,no,"news, links, leads",API or public-profile monitoring,lead_intelligence_overlay,Useful mostly for market chatter and backlinks.
